question_text,option_a,option_b,option_c,correct_answer,difficulty
"Who is Nigeria's current all-time leading goalscorer?","Rashidi Yekini","Segun Odegbami","Victor Osimhen","A","medium"
"Who is Serie A's all-time top scorer?","Francesco Totti","Silvio Piola","Giuseppe Meazza","B","hard"
"Which country does Bukayo Saka represent internationally?","England","France","Spain","A","easy"
"Which team did Manchester United beat in the 2008 Champions League final?","Barcelona","Chelsea","Bayern Munich","B","hard"
"Which club does Gavi currently play for?","Barcelona","Chelsea","Manchester United","A","easy"
"Which club does Unai Emery currently or recently manage?","Aston Villa","Arsenal","Tottenham","A","easy"
"How many Champions League goals did Raul score?","71","65","58","A","hard"
"Who is Ghana's all-time top scorer?","Asamoah Gyan","Abedi Pele","Michael Essien","A","medium"
"Who won the 2022 World Cup Golden Glove?","Hugo Lloris","Emiliano Martinez","Dominik Livakovic","B","medium"
"Which Premier League club is Gareth Bale most associated with?","Tottenham","Arsenal","Chelsea","A","easy"
"Which Premier League club is Patrick Vieira most associated with?","Arsenal","Chelsea","Manchester United","A","easy"
"Which country hosted the 1934 FIFA World Cup?","Italy","France","Brazil","A","hard"
"Who scored a hat-trick in the 2017 El Clasico at the Bernabeu?","Cristiano Ronaldo","Lionel Messi","Luis Suarez","B","medium"
"Which Premier League club is Wayne Rooney most associated with?","Manchester United","Liverpool","Manchester City","A","easy"
"Which country did Franz Beckenbauer represent?","Austria","Germany","Netherlands","B","medium"
"Which Premier League club is Frank Lampard most associated with?","Chelsea","Liverpool","Manchester City","A","easy"
"How many Champions League finals has Atletico Madrid lost?","2","3","4","B","hard"
"What shirt number did Thierry Henry wear at Arsenal?","9","12","14","C","easy"
"Which club does Jude Bellingham currently play for?","Real Madrid","Chelsea","Manchester United","A","easy"
"Which club won the Premier League in the 2019-20 season?","Manchester City","Liverpool","Chelsea","B","easy"
"Which club is known as 'I Rossoneri'?","Inter Milan","AC Milan","AS Roma","B","easy"
"Which Nigerian player played for Ajax and Arsenal?","Nwankwo Kanu","Jay-Jay Okocha","Finidi George","A","medium"
"How many goals did Erling Haaland score in his debut Premier League season?","32","36","40","B","medium"
"Which country hosted the 1990 FIFA World Cup?","Italy","USA","France","A","medium"
"Who scored the overhead kick goal for Real Madrid vs Juventus in 2018?","Karim Benzema","Gareth Bale","Cristiano Ronaldo","C","easy"
"Which national team is Kylian Mbappe the captain of?","France","Belgium","Spain","A","easy"
"Which Premier League club is David Silva most associated with?","Manchester City","Manchester United","Chelsea","A","easy"
"Which club is known as 'Los Blancos'?","Barcelona","Valencia","Real Madrid","C","easy"
"What is the penalty spot distance from goal?","11 meters","12 meters","10 meters","A","easy"
"What is the fastest red card in football history?","1 second","2 seconds","3 seconds","B","hard"
"Which country hosted the 1930 FIFA World Cup?","Uruguay","Italy","France","A","hard"
"Which club did Mohamed Salah play for before Liverpool?","Chelsea","Roma","Fiorentina","B","medium"
"Which Premier League club is Eden Hazard most associated with?","Chelsea","Arsenal","Tottenham","A","easy"
"Which club has won the most La Liga titles?","Barcelona","Real Madrid","Atletico Madrid","B","easy"
"How many goals did Cristiano Ronaldo score in the 2016-17 Champions League?","10","12","14","B","hard"
"How long is a standard football match?","80 minutes","90 minutes","100 minutes","B","easy"
"How many Serie A titles has Inter Milan won in total?","17","19","20","B","hard"
"Which country hosted the 1994 FIFA World Cup?","USA","France","South Korea/Japan","A","medium"
"What is the home stadium of Wolves?","Molineux","Emirates Stadium","Stamford Bridge","A","medium"
"Which club does Jurgen Klopp currently or recently manage?","Liverpool","Manchester City","Arsenal","A","easy"
"Which country hosted the 2014 FIFA World Cup?","Brazil","Russia","Qatar","A","medium"
"What is the home stadium of Fulham?","Craven Cottage","Emirates Stadium","Stamford Bridge","A","medium"
"What is the home stadium of Chelsea?","Stamford Bridge","Emirates Stadium","Anfield","A","medium"
"Who holds the record for most assists in a single Premier League season?","Thierry Henry","Mesut Ozil","Kevin De Bruyne","C","medium"
"What color is the Liverpool home jersey?","Blue","Red","White","B","easy"
"Who won the 2022 Ballon d'Or Feminin?","Alexia Putellas","Ada Hegerberg","Sam Kerr","A","medium"
"Which country does Alisson Becker play for?","Argentina","Brazil","Colombia","B","medium"
"Which club does Pedri currently play for?","Barcelona","Chelsea","Manchester United","A","easy"
"What does VAR stand for?","Video Assistant Referee","Virtual Analysis Review","Verified Action Replay","A","easy"
"Which club does Joao Felix currently play for?","Barcelona (loan)","Chelsea","Manchester United","A","easy"
"Which country does Bayern Munich play in?","Austria","Switzerland","Germany","C","medium"
"Which national team is Luka Modric the captain of?","Croatia","Serbia","Slovenia","A","easy"
"Who holds the record for most goals in a single World Cup tournament?","Just Fontaine","Gerd Muller","Ronaldo","A","hard"
"What was Arsenal's original name?","Dial Square","The Gunners","North London FC","A","medium"
"What is the record for most goals in a single La Liga season?","50","46","55","A","hard"
"Which city is FC Barcelona located in?","Madrid","Barcelona","Valencia","B","medium"
"Which Premier League club is Luis Suarez most associated with?","Liverpool","Chelsea","Manchester City","A","easy"
"Who won the Serie A Golden Boot in 2022-23?","Victor Osimhen","Lautaro Martinez","Dusan Vlahovic","A","medium"
"What is the nickname of Juventus?","The Old Lady","The Black and Whites","I Bianconeri","A","medium"
"Which club does Thomas Tuchel currently or recently manage?","Bayern Munich","PSG","Chelsea","A","easy"
"Which national team is Harry Kane the captain of?","England","Scotland","Wales","A","easy"
"In which year was Real Madrid founded?","1902","1895","1910","A","medium"
"What was Cristiano Ronaldo's transfer fee from Manchester United to Real Madrid?","80 million pounds","60 million pounds","100 million pounds","A","medium"
"In which year was Manchester United founded?","1878","1892","1905","A","medium"
"What number did Ronaldinho wear at Barcelona?","10","11","21","A","easy"
"Who scored the most goals in Serie A history?","Silvio Piola","Francesco Totti","Giuseppe Meazza","A","hard"
"What number did Cristiano Ronaldo wear at Real Madrid?","7","9","10","A","easy"
"Which team won the Bundesliga in 2021-22?","Borussia Dortmund","Bayern Munich","RB Leipzig","B","medium"
"Which team won the FA Cup in 2023?","Manchester City","Manchester United","Arsenal","A","medium"
"How many goals did Mohamed Salah score in his record-breaking 2017-18 season?","32","44","28","A","hard"
"What size is the center circle radius?","9.15 meters","10 meters","11 meters","A","easy"
"Which team has won the most F1 Constructors Championships?","Ferrari","Mercedes","McLaren","A","medium"
"Which Grand Slam is played on clay?","US Open","French Open","Australian Open","B","easy"
"Who is the shortest player to ever play in the NBA?","Isaiah Thomas","Muggsy Bogues","Spud Webb","B","hard"
"Which NBA team has won the most championships?","Los Angeles Lakers","Boston Celtics","Chicago Bulls","B","medium"
"What is the height of a standard NBA basketball hoop?","10 feet","11 feet","12 feet","A","medium"
"What surface is Wimbledon played on?","Clay","Grass","Hard court","B","easy"
"What is a 'century' in cricket?","50 runs","100 runs","150 runs","B","easy"
"Who won the 2023 NBA Finals MVP?","Jimmy Butler","Nikola Jokic","Jamal Murray","B","medium"
"How many players are on a basketball team on the court?","4","5","6","B","easy"
"Which team did Michael Jordan play for?","Chicago Bulls","Los Angeles Lakers","Miami Heat","A","easy"
"Which player has the most NBA MVP awards?","Michael Jordan","Kareem Abdul-Jabbar","LeBron James","B","hard"
"How many overs are in a One Day International match?","40","50","60","B","easy"
"Which team won the 2023 NBA Championship?","Miami Heat","Denver Nuggets","Boston Celtics","B","easy"
"Who is known as 'The Greek Freak'?","Luka Doncic","Giannis Antetokounmpo","Nikola Jokic","B","easy"
"Who is the NBA's all-time leading scorer?","Kareem Abdul-Jabbar","LeBron James","Michael Jordan","B","easy"
"How many points is a three-point shot worth in basketball?","2","3","4","B","easy"
"How many runs is a 'six' worth?","4","5","6","C","easy"
"How many sets are needed to win a men's Grand Slam match?","2","3","4","B","medium"
"How many Grand Slam tournaments are there?","3","4","5","B","easy"
"Who is Babe Ruth?","Basketball legend","Baseball legend","Football legend","B","easy"
"How many holes are in a standard round of golf?","9","18","21","B","easy"
"What is a 'bogey' in golf?","One under par","One over par","Two over par","B","easy"
"Who has won the most Masters titles?","Tiger Woods","Jack Nicklaus","Arnold Palmer","B","hard"
"What is a 'perfect game' in baseball?","No errors","No hits, walks, or errors","10+ strikeouts","B","hard"
"How many F1 World Championships has Lewis Hamilton won?","5","6","7","C","medium"
"How many points did Wilt Chamberlain score in his record game?","81","100","92","B","hard"
"What weight class is above heavyweight?","Super heavyweight","Cruiserweight","Light heavyweight","A","hard"
"What is a 'submission' in MMA?","A knockout","Opponent taps out","Decision win","B","medium"
"What is the Giro d'Italia?","Italian cycling race","Italian running race","Italian football league","A","medium"
"What is the Stanley Cup?","NHL championship trophy","Olympic hockey trophy","World Cup trophy","A","easy"
"What does DRS stand for in F1?","Drag Reduction System","Dynamic Racing Speed","Drive Rate System","A","medium"
"Which country won the 2023 Cricket World Cup?","India","Australia","England","B","easy"
"What is 'icing' in hockey?","A penalty","Shooting puck across lines","A celebration","B","medium"
"Who holds the record for highest Test score?","Don Bradman","Brian Lara","Matthew Hayden","B","medium"
"What is a 'scrum' in rugby?","A type of kick","Players pushing for the ball","A scoring move","B","easy"
"How long is a boxing round?","2 minutes","3 minutes","5 minutes","B","medium"
"How often are the Summer Olympics held?","Every 2 years","Every 4 years","Every 5 years","B","easy"
"Where is the Australian Open held?","Sydney","Melbourne","Brisbane","B","medium"
"What does LBW stand for?","Leg Before Wicket","Left Bowler Wins","Long Ball Wide","A","medium"
"How many hurdles are in a 110m hurdles race?","8","10","12","B","hard"
"Who holds the record for most points in a single NBA game?","Kobe Bryant","Michael Jordan","Wilt Chamberlain","C","medium"
"Which country invented cricket?","Australia","England","India","B","medium"
"How long is a marathon race?","40 km","42.195 km","45 km","B","medium"
"What is the World Series?","Basketball championship","Baseball championship","Football championship","B","easy"
"Who is known as 'Iron Mike'?","Mike Tyson","Mike Powell","Michael Spinks","A","easy"
"Where is the Masters Tournament held?","Augusta, Georgia","St Andrews, Scotland","Pebble Beach, California","A","medium"
"What was Muhammad Ali's birth name?","Cassius Clay","Michael Clay","Robert Clay","A","medium"
"What do the five Olympic rings represent?","Elements","Continents","Sports","B","easy"
"What is the 'crease' in hockey?","Center ice","Goal area","Penalty box","B","medium"
"What is the Olympic flame?","A trophy","Torch carried to games","Stadium light","B","easy"
"What is the butterfly stroke?","Swimming on back","Arms move together over water","Side swimming","B","medium"
"Who is the youngest F1 World Champion?","Max Verstappen","Sebastian Vettel","Lewis Hamilton","B","hard"
"What is a 'ground and pound' in MMA?","Striking on the ground","A takedown","A submission","A","medium"
"Where is the Monaco Grand Prix held?","France","Monaco","Italy","B","easy"
"Who is known as 'The King' in NBA?","Kobe Bryant","LeBron James","Stephen Curry","B","easy"
"What is a 'hat-trick' in cricket?","3 runs in 3 balls","3 wickets in 3 balls","3 boundaries","B","medium"
"How many players are on ice per hockey team?","5","6","7","B","medium"
"What is a 'conversion' in rugby?","A try","Kick after a try","A tackle","B","medium"
"What is a 'break' in tennis?","A rest period","Winning opponent's serve game","A fault","B","medium"
